gameTitle,platform,Publisher,developer,ReleaseDate
Super Castlevania IV,SNES,Konami,Konami,01/12/1991
Super Baseball Simulator 1.000,SNES,Culture Brain,Culture Brain,01/12/1991
Tetris 2 + Bombliss,NES,BPS,ChunSoft,13/12/1991
SD Gundam Gaiden: Knight Gundam Monogatari: Ooinaru Isan,SNES,Angel Studios,Unknown,21/12/1991
Battle Commander: Hachibushu Shura no Heihou,SNES,Banpresto,Banpresto,29/12/1991
Mega Man 4,NES,Capcom,Capcom,01/01/1992
Bomberman II,NES,Hudson Soft,Hudson Soft,01/01/1992
Dragon Ball Z: Chou Saiya Densetsu,SNES,Bandai,TOSE,25/01/1992
Dragon Slayer: Eiyuu Densetsu,SNES,Epoch,Nihon Falcom Corporation,14/02/1992
Dragon Slayer: The Legend of Heroes,SNES,Epoch,Nihon Falcom Corporation,14/02/1992
F1 ROC: Race of Champions,SNES,Seta Corporation,Seta Corporation,01/03/1992
Otogirisou,SNES,ChunSoft,ChunSoft,07/03/1992
World League Soccer,SNES,Mindscape,Anco,01/04/1992
Contra III: The Alien Wars,SNES,Konami,Konami,01/04/1992
Super Soccer,SNES,Nintendo,Human Entertainment,01/05/1992
Romance of the Three Kingdoms II,SNES,KOEI,Koei,01/05/1992
Super Batter Up,SNES,Namco,Namco,01/10/1992
Battle Soccer: Field no Hasha,SNES,Banpresto,Banpresto,11/12/1992
Super Bomberman,SNES,Hudson Soft,Produce!,01/01/1993
Romance of the Three Kingdoms III: Dragon of Destiny,SNES,KOEI,Koei,01/01/1993
Mega Man IV,GB,Capcom,Capcom,01/01/1993
Empire Deluxe,PC,New World Computing,White Wolf Productions,01/01/1993
SimFarm,PC,Maxis,Maxis Software,01/01/1993
Sam & Max Hit the Road,PC,LucasArts,LucasArts,01/01/1993
SimEarth: The Living Planet,SNES,FCI,Tomcat System,01/02/1993
Jurassic Park,NES,Ocean,Ocean,01/06/1993
Ecco the Dolphin,GEN,Sega,Novotrade International,29/07/1993
Crayon Shin-Chan: Arashi o Yobu Enji,SNES,Bandai,Bandai,30/07/1993
J-League Soccer: Prime Goal,SNES,Namco,Namco,06/08/1993
Super Power League,SNES,Hudson Soft,Hudson Soft,06/08/1993
Gunstar Heroes,GEN,Sega,"Treasure Co., Ltd.",09/09/1993
Torneko no Daibouken: Fushigi no Dungeon,SNES,ChunSoft,ChunSoft,19/09/1993
Harukanaru Augusta 2: Masters,SNES,T&E Soft,Tikipod,19/09/1993
Street Fighter II': Special Champion Edition (JP weekly sales),GEN,Capcom,Unknown,27/09/1993
Classic Road,SNES,Victor Interactive,Opera House,29/10/1993
Pac-Man,NES,Namco,Namco,01/11/1993
Jissen Pachi-Slot Hisshouhou,SNES,Sammy Corporation,Sammy Corporation,26/11/1993
Super Mahjong 2: Honkaku 4Jin Uchi,SNES,Imax,I'Max,02/12/1993
Nobunaga no Yabou: Haouden,SNES,KOEI,Koei,09/12/1993
Doom    Read the review,PC,id Software,id Software,10/12/1993
Doraemon 2: Nobita no Toizurando Daibouken,SNES,Epoch,SAS Sakata,17/12/1993
Pachinko Wars II,SNES,Coconuts Japan,Coconuts Japan,17/12/1993
Yuu Yuu Hakusho,SNES,Namco,Namco,22/12/1993
Shin Momotarou Densetsu,SNES,Hudson Soft,Hudson Soft,24/12/1993
Mortal Kombat II (US & Others sales),GEN,Acclaim Entertainment,Probe Entertainment Limited,01/01/1994
Mortal Kombat II,SNES,Acclaim Entertainment,Sculptured Software,01/01/1994
Dragon Ball Z: Ultime Menace,SNES,Bandai,TOSE,01/01/1994
Mega Man X2,SNES,Capcom,Capcom,01/01/1994
Sailor Moon,SNES,Bandai,Angel Studios,01/01/1994
Super Street Fighter II,GEN,Capcom,Capcom,01/01/1994
Ninja Warriors,SNES,Taito,Natsume,01/01/1994
Pop'n TwinBee: Rainbow Bell Adventure,SNES,Konami,Konami,01/01/1994
Sonic the Hedgehog 3,GEN,Sega,Sonic Team,23/01/1994
Majin Tensei,SNES,Atlus,Atlus Co.,28/01/1994
Koutetsu no Kishi 2: Sabaku no Rommel Shougun,SNES,Asmik Ace Entertainment,Dual,28/01/1994
Teenage Mutant Ninja Turtles: Tournament Fighters,NES,Konami,Konami,01/02/1994
Derby Stallion II,SNES,ASCII Entertainment,ASCII Entertainment,18/02/1994
Final Fantasy I & II,NES,Square,SquareSoft,27/02/1994
Mega Man 6,NES,Nintendo,Capcom,01/03/1994
Jikkyou Powerful Pro Yakuu '94,SNES,Konami,Konami,11/03/1994
First Queen: Ornic Senki,SNES,Culture Brain,Kure,11/03/1994
Virtua Racing,GEN,Sega,Sega-AM2,14/03/1994
Streets of Rage 3,GEN,Sega,Sega,17/03/1994
Castlevania Bloodlines,GEN,Konami,Konami,17/03/1994
Derby Jockey: Kishou e no Michi,SNES,Asmik Corp,GRC,18/03/1994
Game no Kanzume Vol 2,SCD,Sega,Unknown,18/03/1994
Game no Kanzume Vol 1,SCD,Sega,Unknown,18/03/1994
Super Robot Taisen EX,SNES,Banpresto,WinkySoft,25/03/1994
Kenyuu Densetsu Yaiba,SNES,Banpresto,Atelier Double,25/03/1994
Fatal Fury 2,SNES,Takara,SNK Corporation,01/04/1994
Puzzle & Action: Tant-R,GEN,Sega,Sega,01/04/1994
Shin Megami Tensei II,SNES,Atlus,Atlus Co.,18/04/1994
Drift King Shutokou Battle '94,SNES,BPS,Genki,27/05/1994
Jagged Alliance,PC,Interplay,Madlab Software,02/06/1994
Thoroughbred Breeder II,SNES,Hect,Hector,08/06/1994
Super Formation Soccer 94,SNES,Human Entertainment,Human Entertainment,17/06/1994
Slayers,SNES,Banpresto,Bec,24/06/1994
J-League Pro Striker 2,GEN,Sega,Sega,15/07/1994
Shining Force CD,SCD,Sega,Camelot Software Planning,21/07/1994
Zero4 Champ RR,SNES,Media Rings,Media Rings,22/07/1994
Super Power League 2,SNES,Hudson Soft,Hudson Soft,03/08/1994
Super Bomberman 2,SNES,Hudson Soft,Produce!,01/09/1994
Illusion of Gaia,SNES,Nintendo,Quintet,01/09/1994
Live A Live,SNES,Square,SquareSoft,02/09/1994
Samurai Spirits (CD),NG,SNK,SNK Corporation,09/09/1994
Dragon Slayer: Eiyuu Densetsu,GEN,Sega,Sega Falcom,16/09/1994
Dragon Slayer: The Legend of Heroes,GEN,Sega,Nihon Falcom Corporation,16/09/1994
Doom II,PC,GT Interactive,id Software,30/09/1994
Yuu Yuu Hakusho: Makyo Toitsusen,GEN,Sega,"Treasure Co., Ltd.",30/09/1994
The King of Fighters '94,NG,SNK,SNK Corporation,01/10/1994
Sonic & Knuckles,GEN,Sega,Sonic Team,17/10/1994
Shining Force II,GEN,Sega,Camelot Software Planning,19/10/1994
Kamaitachi no Yoru,SNES,ChunSoft,ChunSoft,25/11/1994
Gokujou Parodius,SNES,Konami,Konami,25/11/1994
Samurai Shodown II,NG,SNK,SNK Corporation,02/12/1994
A. IV Evolution: A Ressha de Ikou 4,PS,ArtDink,ArtDink,03/12/1994
Crime Crackers,PS,Sony Computer Entertainment,Media.Vision,03/12/1994
Beyond Oasis,GEN,Sega,Ancient,08/12/1994
Wonder Project J: Kikai no Shonen Pino,SNES,Enix,Almanic Corp.,09/12/1994
Ganbare Goemon 3: Shishi Jyuurokubei no Karakuri Manji Katame,SNES,Konami,Konami,16/12/1994
Super Fire ProWrestling Special,SNES,Human Entertainment,Human Club,22/12/1994
Daikaijyuu Monogatari,SNES,Hudson Soft,Birthday,22/12/1994
Jikkyou Powerful Pro Yakyuu '95,PS,Konami,Konami,22/12/1994
Monopoly,PC,Hasbro Interactive,Unknown,01/01/1995
Super Bomberman 3,SNES,Hudson Soft,Hudson Soft,01/01/1995
Theme Park,PS,Electronic Arts,Bullfrog Productions,01/01/1995
Kileak: The DNA Imperative,PS,Sony Computer Entertainment,Genki,01/01/1995
Galactic Attack,SAT,Acclaim Entertainment,Ving,01/01/1995
ThunderStrike 2,PS,Core Design Ltd.,Core Design Ltd.,01/01/1995
Battle Arena Toshinden Remix,SAT,Sega,Nextech,01/01/1995
Center Ring Boxing,SAT,JVC,Victor Interactive Software,01/01/1995
Discworld,PS,Psygnosis,Teeny Weeny Games,01/01/1995
Worldwide Soccer,SAT,Sega,Sega,01/01/1995
Myst,SAT,Acclaim Entertainment,SunSoft,01/01/1995
Golden Axe: The Duel,SAT,Sega,Sega,01/01/1995
World Series Baseball,SAT,Sega,Sega,01/01/1995
Bases Loaded '96: Double Header,SAT,Jaleco,TOSE,01/01/1995
Bust-A-Move,3DO,Panasonic Interactive Media,Taito Corporation,01/01/1995
The Mystery Collection,PC,Activision,"Infocom, Inc.",01/01/1995
Discworld,PC,Psygnosis,Perfect Entertainment,01/01/1995
Derby Stallion III,SNES,ASCII Entertainment,ASCII Entertainment,20/01/1995
J-League Victory Goal,SAT,Sega,Sega,20/01/1995
GOTHA: Ismailia Seneki,SAT,Sega,Micronet,27/01/1995
Kirby's Dream Course,SNES,Nintendo,HAL Laboratory,01/02/1995
NBA Jam Tournament Edition,SNES,Acclaim Entertainment,Iguana Entertainment,23/02/1995
Jikkyou Powerful Pro Yakyuu 2,SNES,Konami,Konami,24/02/1995
Rampo,SAT,Sega,Sega,24/02/1995
Star Wars: Dark Forces,PC,LucasArts,LucasArts,28/02/1995
Mario's Picross,GB,Nintendo,Jupiter Multimedia,01/03/1995
Super Famista 4,SNES,Namco,Namco,03/03/1995
Dai-4-Ji Super Robot Taisen,SNES,Banpresto,Banpresto,17/03/1995
Mega Man 7,SNES,Capcom,Capcom,23/03/1995
Gameboy Gallery,GB,Nintendo,Nintendo,27/04/1995
Jumping Flash!,PS,Sony Computer Entertainment,Exact,27/04/1995
Virtual Hydlide,SAT,Atlus,Tikipod,27/04/1995
J-League Excite Stage '95,SNES,Epoch,A-Max,28/04/1995
Panzer Dragoon,SAT,Sega,Team Andromeda,11/05/1995
Clockwork Knight,SAT,Sega,Sega-AM7,11/05/1995
Nichibutsu Arcade Classics,SNES,Nichibutsu,Nihon Bussan,26/05/1995
Super Nazo Puyo: Ruruu no Ruu,SNES,Banpresto,Compile,26/05/1995
Kanzen Chuuki Pro Yakyuu Greatest Nine,SAT,Sega,Sega,26/05/1995
Super Real Mahjong P V,SAT,Seta Corporation,Seta Corporation,26/05/1995
EarthBound,SNES,Nintendo,Ape Studios / HAL Laboratory,01/06/1995
Mobile Suit Gundam,PS,Bandai,Bandai,23/06/1995
Mystic Ark,SNES,Enix,Produce!,14/07/1995
Far East of Eden Shinden,NG,Hudson Soft,RED Company,28/07/1995
Zero Divide,PS,Time Warner Interactive,Zoom Inc.,24/08/1995
Rayman,PS,Ubisoft,Ubisoft Montpellier,01/09/1995
PGA Tour 96,PS,EA Sports,EA Sports,01/09/1995
Rapid Reload,PS,Sony Computer Entertainment,Media.Vision,01/09/1995
Castlevania Dracula X,SNES,Konami,Konami,01/09/1995
NBA JAM Tournament Edition,PS,Acclaim Entertainment,Iguana Entertainment,04/09/1995
Boxer's Road,PS,New,New Corporation,08/09/1995
Super Jinsei Game 2,SNES,Takara,Takara,08/09/1995
Battle Arena Toshinden,PS,Sony Computer Entertainment,Tamsoft,09/09/1995
Mario no Super Picross,SNES,Nintendo,Jupiter Multimedia,14/09/1995
Dragon Ball Z Super Gokuden: Kakusei-Hen,SNES,Bandai,TOSE,22/09/1995
Shin Nippon Pro Wrestling: Toukon Retsuden,PS,Tomy Corporation,Yuke's Media Creations,29/09/1995
Detana TwinBee Yahho! Deluxe Pack,SAT,Konami,Konami,29/09/1995
Nobunaga no Yabou: Tenshoki,SAT,KOEI,Koei,29/09/1995
Wizardry VI: Bane of the Cosmic Forge,SNES,ASCII Entertainment,Game Studio,29/09/1995
Idol Janshi Suchie-Pai Remix,SAT,Jaleco,Jaleco,29/09/1995
Derby Jockey 2,SNES,Asmik Corp,Muse Soft,29/09/1995
Detana TwinBee Yahho! Deluxe Pack,PS,Konami,Konami,29/09/1995
Zen-Nippon GT Senshuken,SNES,Banpresto,Kaneko Co. Ltd,29/09/1995
You Don't Know Jack,PC,Sierra Entertainment,"Jellyvision, Inc.",30/09/1995
Mortal Kombat 3,SNES,Williams Entertainment,Sculptured Software,01/10/1995
Final Doom,PS,GT Interactive,Williams Entertainment,01/10/1995
Novastorm,PS,Psygnosis,Psygnosis,01/10/1995
Tactics Ogre: Let Us Cling Together,SNES,Quest,Quest Corporation,06/10/1995
Mortal Kombat 3,PS,Sony Computer Entertainment,Midway Games,07/10/1995
Wizardry VII: Gadeia no Houshu,PS,Sony Computer Entertainment,Locus,13/10/1995
Tokimeki Mahjong Paradise: Koi no Tenpai Beat,SAT,Sonnet,Unknown,20/10/1995
X-COM: UFO Defense,PS,Microprose,MicroProse,25/10/1995
Sengoku Cyber: Fujimaru Jigokuhen,PS,Sony Computer Entertainment,Sony Computer Entertainment,27/10/1995
Princess Maker 2,SAT,Micro Cabin,Gainax,27/10/1995
Slam Dunk SD Heat Up!!,SNES,Bandai,Bandai,27/10/1995
Kekkon Zenya,SAT,Shogakukan,Shogakukan Production,27/10/1995
Sotsugyou II: Neo Generation,PS,Riverhillsoft,Riverhillsoft,27/10/1995
America Oudan Ultra-Quiz,SAT,Victor Interactive,Pegasus Japan,27/10/1995
International Superstar Soccer Deluxe,SNES,Konami,Konami,01/11/1995
FIFA Soccer 96,PS,EA Sports,Extended Play Productions,01/11/1995
Ide Yosuke no Mahjong Kazoku,PS,Seta Corporation,Seta Corporation,03/11/1995
Twisted Metal,PS,Sony Computer Entertainment,SingleTrac,05/11/1995
Warhawk,PS,Sony Computer Entertainment,SingleTrac,10/11/1995
Doom,PS,GT Interactive,Williams Entertainment Inc.,16/11/1995
Dragon Ball Z: Shin Butouden,SAT,Bandai,Bandai,17/11/1995
Block Kuzushi,SNES,Pow,Planning Office Wada,17/11/1995
Thoroughbred Breeder II Plus,PS,Hect,Hector,17/11/1995
Night Head: The Labyrinth,PS,Fuji,Scitron & Art,17/11/1995
Sotsugyou II: Neo Generation Special,3DO,Imageworks,Shar Rock,22/11/1995
DefCon 5,PS,Data East,Millennium Interactive,23/11/1995
Super Real Mahjong Graffiti,SAT,Seta Corporation,Seta Corporation,24/11/1995
Jirou Akagawa: Majotachi no Nemuri,SNES,Pack-In-Video,Pack-In-Video,24/11/1995
Ginga Fukei Densetsu: Sapphire,PCE,Hudson Soft,CAProduction,24/11/1995
Space Griffon VF-9,PS,Atlus,Panther Software,25/11/1995
Zero4 Champ RR-Z,SNES,Media Rings,Media Rings,25/11/1995
Viewpoint,PS,Electronic Arts,Visual Concepts,28/11/1995
Virtua Cop,SAT,Sega,Sega-AM2,01/12/1995
Bases Loaded '96: Double Header,PS,Jaleco,Jaleco Entertainment,01/12/1995
Fushigi no Dungeon 2: Fuurai no Shiren,SNES,ChunSoft,ChunSoft,01/12/1995
Samurai Shodown III,NG,SNK,SNK Corporation,01/12/1995
Sega Rally Championship,SAT,Sega,Sega-AM3,05/12/1995
Super Puyo Puyo 2,SNES,Compile,Complie,08/12/1995
Super Momotarou Dentetsu DX,SNES,Hudson Soft,Hudson Soft,08/12/1995
Virtua Fighter CG Portrait Series Vol.5: Wolf Hawkfield,SAT,Sega,Sega-AM2,08/12/1995
Virtua Fighter CG Portrait Series Vol.6: Lau Chan,SAT,Sega,Sega-AM2,08/12/1995
Gex,PS,Crystal Dynamics,Crystal Dynamics,13/12/1995
NBA In The Zone,PS,Konami,Konami,14/12/1995
Classic Road,PS,Victor Interactive,Victor Interactive,15/12/1995
Doraemon 4: Nobita to Toki no Okoku,SNES,Epoch,Agenda,15/12/1995
Jikkyou Oshaberi Parodius,SNES,Konami,KCEO,15/12/1995
Street Fighter Alpha: Warriors' Dreams,PS,Capcom,Capcom,21/12/1995
Quo Vadis,SAT,Glams,The EDGE Interactive,21/12/1995
Far East of Eden Zero,SNES,Hudson Soft,Hudson Soft,22/12/1995
Doki Oki,PS,Banpresto,Banpresto,22/12/1995
Shin Megami Tensei: Devil Summoner,SAT,Atlus,Atlus Co.,25/12/1995
Daibakushou: Jinsei Gekijou,SNES,Taito,Taito Corporation,25/12/1995
Road Rash,PS,Electronic Arts,Advanced Technology Group,29/12/1995
King's Field,PS,ASCII Entertainment,From Software,31/12/1995
Virtua Fighter 2,SAT,Sega,Sega-AM2,01/01/1996
Road & Track Presents: The Need for Speed,PS,Electronic Arts,EA Canada,01/01/1996
Battle Arena Toshinden 2,PS,Playmates,Tamsoft,01/01/1996
Persona,PS,Atlus,Atlus Co.,01/01/1996
Parodius,PS,Konami,Konami,01/01/1996
Blazing Heroes,SAT,Sega,Micro Cabin,01/01/1996
Decathlete,SAT,Sega,Sega,01/01/1996
The King of Fighters '95,SAT,SNK,SNK Corporation,01/01/1996
Namco Tennis Smash Court,PS,Sony Computer Entertainment,Namco,01/01/1996
Dragon Ball Z Hyper Dimension,SNES,Bandai,TOSE,01/01/1996
GunGriffon,SAT,Sega,Game Arts,01/01/1996
College Slam,PS,Acclaim Entertainment,Iguana Entertainment,01/01/1996
Parodius,SAT,Konami,Konami,01/01/1996
Dragon Ball Z: Idainaru Dragon Ball Densetsu,SAT,Bandai,TOSE,01/01/1996
Romance of the Three Kingdoms IV: Wall of Fire,PS,KOEI,Koei/Inis,01/01/1996
World Cup Golf: Professional Edition,PS,U.S. Gold,Arc Developments,01/01/1996
High Velocity: Mountain Racing Challenge,SAT,Atlus,Cave,01/01/1996
D,PS,Acclaim Entertainment,Warp,01/01/1996
Darius Gaiden,SAT,Acclaim Entertainment,Aisystem Tokyo,01/01/1996
Cyberia,PS,Interplay,"Xatrix Entertainment, Inc.",01/01/1996
Slam 'n Jam '96 featuring Magic & Kareem,PS,Crystal Dynamics,Left Field Productions,01/01/1996
Tempest 3X,PS,Interplay,High Voltage Software,01/01/1996
A-Train,PS,Maxis,ArtDink,01/01/1996
Striker 96,PS,Acclaim Entertainment,Rage Software,01/01/1996
Krazy Ivan,PS,Sony Computer Entertainment,Psygnosis,01/01/1996
Hang On GP,SAT,Sega,Genki,01/01/1996
Highway 2000,SAT,Natsume,Genki,01/01/1996
Hi-Octane: The Track Fights Back!,PS,Electronic Arts,Bullfrog Productions,01/01/1996
Johnny Bazookatone,PS,U.S. Gold,Arc Developments,01/01/1996
Magic Carpet,PS,Electronic Arts,Bullfrog Productions,01/01/1996
Super Dodge Ball,NG,Technos Japan Corporation,Technos,01/01/1996
Dai-4-Ji Super Robot Taisen S,PS,Banpresto,Winky Soft,26/01/1996
Nobunaga no Yabou: Tenshoki,SNES,KOEI,Koei,26/01/1996
StarBlade α,PS,Sony Computer Entertainment,Namco,01/02/1996
Assault Rigs,PS,Psygnosis,Psygnosis,01/02/1996
Bahamut Lagoon,SNES,Square,SquareSoft,09/02/1996
J-League Pro Soccer Club wo Tsukurou!,SAT,Sega,Sega,23/02/1996
Philosoma,PS,Sony Computer Entertainment,G Artist,26/02/1996
Jikkyou Powerful Pro Yakyuu 3,SNES,Konami,Diamond Head,29/02/1996
Sid Meier's Civilization II,PC,Microprose,MPS Labs,29/02/1996
Criticom,PS,Victory Lap Games,Kronos Digital Entertainment,01/03/1996
HardBall 5,PS,Accolade,MindSpan,01/03/1996
Brain Dead 13,PS,ReadySoft,ReadySoft,06/03/1996
Derby Stallion 96,SNES,ASCII Entertainment,ASCII Entertainment,15/03/1996
DX Game of Life,PS,Takara,Takara,22/03/1996
Extreme Pinball,PS,Electronic Arts,Epic Games,28/03/1996
Wing Commander III: Heart of the Tiger,PS,Electronic Arts,Origin Systems,28/03/1996
Mobile Suit Gundam version 2.0,PS,Bandai,Unknown,29/03/1996
Bust-A-Move 2 Arcade Edition,PS,Acclaim Entertainment,Taito Corporation,29/03/1996
Return Fire,PS,Time Warner Interactive,Silent Software Inc.,12/04/1996
Super Bomberman 4,SNES,Hudson Soft,Produce!,26/04/1996
Nonomura Byoin no Hitobito,SAT,Elf,Elf,26/04/1996
J-League Excite Stage '96,SNES,Epoch,A-Max,26/04/1996
Tokimeki Memorial: Private Collection,PS,Konami,Konami,26/04/1996
Art of Fighting 3: The Path of the Warrior,NG,SNK,SNK Corporation,26/04/1996
Kirby's Block Ball,GB,Nintendo,HAL Laboratory,01/05/1996
Skeleton Warriors,PS,Playmates,Neversoft Entertainment,22/05/1996
Sword & Sorcery,SAT,Micro Cabin,Micro Cabin,31/05/1996
Sound Novel Tsukuru,SNES,ASCII Entertainment,Success,31/05/1996
Dark Half,SNES,Enix,Enix Corporation,31/05/1996
Top Gun: Fire at Will!,PS,Spectrum Holobyte,MicroProse,01/06/1996
J-League '96 Dream Stadium,SNES,Hudson Soft,Hudson Soft,01/06/1996
Frank Thomas Big Hurt Baseball,PS,Acclaim Entertainment,Iguana Entertainment,05/06/1996
Victory Spike,PS,Imagineer,Imagineer,07/06/1996
Big Ichigeki! Pachi-Slot Taikouryku Universal Museum,SAT,ASK,ASK,14/06/1996
Hankou Shashin,SAT,Imagineer,Imagineer,14/06/1996
Shippuu Mahou Daisakusen: Kingdom-Grandprix,SAT,Gaga,Eighting/Raizing,14/06/1996
Arc the Lad II,PS,Sony Computer Entertainment,ARC Entertainment,20/06/1996
Shin Fortune Quest: Sokutaku no Kishi,PS,Media Works,Media Works,21/06/1996
Meru Purana,PS,Gust,Gust,21/06/1996
Saikyou Habu Shogi,N64,Seta Corporation,Seta Corporation,23/06/1996
Triple Play 97,PS,Electronic Arts,EA Sports,24/06/1996
Fade to Black,PS,Electronic Arts,Delphine Software International,24/06/1996
